normalized_category_name,usage_count
Madame Scurry,1781
EverQuest,797
Godswar Online,469
Blue Oyster Cult,319
Welcometoblaugust,250
Orin Grimcaster,245
World of Warcraft,203
All Points Bulletin,199
Straight Talk Warhammer,169
Planet of the Corvids,156
Star Trek Online,132
Daily Blogroll,125
Tangleroot Gorge,125
Return of the Light,110
EVE Online,106
New Xbox Experience,101
The Harrowing,101
The Veilguard,98
Game Night,93
CRPG,91
Security Guards,91
Final Fantasy XIII,81
The Lord of the Rings,78
Nostalgia the Guild,78
DC Universe Online,73
Dungeon Crawl Classics,61
Warhammer: Age of Reckoning,60
Challenge of the Superfriends,59
City of Heroes,58
Terra Randoma,58
French Revolution,58
Final Fantasy III,57
Dungeons &Amp; Dragons Online,53
Final Fantasy,43
Champions Online,42
Mount Week,39
Guild Wars 2,33
Test Driven Development,33
Adventures in Monopoly,29
Facebook Games,29
D&amp;D 4e,29
Kickstarter,29
7drl,27
3d Printing,24
Dream of Mirror Online,22
Pirates of the Burning Sea,22
Open World Rpg,22
Richard Bach,21
Dark Ages of Camelot,19
Supernatural Horror,19
Love in a Time of Corona,18
Observatory,16
Console Game,15
Ramiele Mercado,14
Dragon Age Origins,14
Action Rpg,14
Dungeons &Amp; Dragons,14
Second Life,13
One Panel Comix,13
Terraforming Mars,13
Magic the Gathering,13
Text Adventure Game,13
Hello Kitty Online,12
The Secret Number 14,11
Prehistoric Games,11
David Archuletta,11
Earth Eternal,10
Temple of the Ancients,10
Visual Novel,10
Attractive Graphics,10
Baldur's Gate 3,10
Featured Episodes,9
Kingdoms of Amalur: Reckoning,9
Battlestar Galactica,8
Seeds of Destruction,8
Everquest Next,8
Lucent Heart,8
Game Development,8
Horizon Forbidden West,8
Final Fantasy VII,8
Partial Pressure,7
Nintendo Switch,7
Legends of Zork,7
Allods Online,7
Uncategorized,7
It's a Wipe!,7
Valkyria Chronicles,7
Action Adventure Games,7
Turn-based Rpgs,7
Gameboy Advance,7
Desert Walk,6
Shin Megami Tensei,6
Lord of the Chords,6
Star Wars: the Old Republic,6
Pillars of Eternity,6
Nocturnal Wrath,6
Dragonica Online,5
Quick Takes,5
Video Game Series,5
Programming Language,5
Tales From the Loop,5
Dashboard Confessional,5
The Battle Standard,5
Dragons of Norrath,4
Mystery Dungeon,4
Intellivision,4
Rhythm Games,4
Sentinels of Stormreach,4
Old School Runescape,4
Endless Runner,4
First Person Shooter,4
Shiritakai Temple,4
Monsters &Amp; Memories,4
Dragon's Dogma,4
Everquest Online Adventures,3
Wizard of Legend,3
Cities XL,3
Girls Screaming in British,3
Fantasy Earth Zero,3
Black Prophecy,3
Swords of the Coin,3
Kerbal Space Program,3
Seasoned Adventurer,3
Euro Truck Simulator 2,3
The Elder Scrolls Online,3
Gaming Convention,3
Video Game Console,3
Gotham Knights,3
Unicorn Overlord,3
Pantheon: Rise of the Fallen,3
Mur Lafferty,3
Neverwinter Nights,2
Persona 5 Strikers,2
Crown of the Magister,2
Shin Megami Tensei: Imagine,2
Dragon Age Legends,2
College-Ruled Universe,2
Realm of the Mad God,2
Delusions of Grandeur,2
Return to Dark Tower,2
Counterweigt West,2
Massively Multiplayer,2
My Little Scythe,2
Star Scrappers Orbital,2
Dungeon Encounters,2
Isometric Tactical Strategy,2
2d Platformers,2
Zombie Games,2
No Man's Sky,2
White Knight Chronicles,2
Monster Hunter,2
Crayon Physics Deluxe,1
Kung Foo!,1
My Empire,1
Doctor Who Adventures,1
Clone Wars Adventures,1
Battle of the Immortals,1
Gods &Amp; Heroes,1
Lego Universe,1
Fortune League,1
Need for Speed World,1
Divinity II -- Dragon Knight Saga,1
Wizardry Online,1
Ballpoint Universe,1
Crayon Chronicles,1
Star Command Galaxies,1
Crypt of the Necrodancer,1
Sword Coast Legends,1
Webway Games,1
Final Fantasy Origins,1
Kaiju Wars,1
Artisans of Splendent Vale,1
Post-apocalyptic Games,1
2d Platformer Games,1
Side-scrolling Games,1
Bandai Wonderswan,1
Psychological Thriller,1
Exploration Games,1
Ark Survival Evolved,1
Sword Art Online Fatal Bullet,1
Black Desert Online,1
Elite Dangerous,1
The Last Airbender,1
Master Tower,1
Granblue Fantasy,1
Vandal Hearts,1
4x,1
Stars Reach,1
